variable,variable_type,responses,question_standardized,response_standardized,country,format,response_standarized,question_full
meta:instanceID,Non-categorical,Non-categorical variable,NA,NA,mali,champs1,NA,NA
Date_interview,Non-categorical,Non-categorical variable,visit_date,NA,mali,champs1,NA,Visit date
Site,Non-categorical,Non-categorical variable,site,NA,mali,champs1,NA,Interview site ID
ID_sujet,Non-categorical,Non-categorical variable,filenumber,NA,mali,champs1,NA,File number
Debut,Non-categorical,Non-categorical variable,start_time,NA,mali,champs1,NA,Interview start time
Section_1.1:Date_naissance,Non-categorical,Non-categorical variable,date_birth_deceased,NA,mali,champs1,NA,Date of birth of deceased
Section_1.1:Sexe,Categorical,garcon,sex_deceased,male,mali,champs1,NA,Sex of deceased
Section_1.1:Sexe,Categorical,fille,sex_deceased,female,mali,champs1,NA,Sex of deceased
Section_1.1:Date_deces,Non-categorical,Non-categorical variable,date_death_deceased,NA,mali,champs1,NA,Date of death of deceased
Section_1.1:Age_deces,Non-categorical,Non-categorical variable,age_months,NA,mali,champs1,NA,Age of child in months
Section_1.1:Numero_ID,Non-categorical,Non-categorical variable,NA,NA,mali,champs1,NA,NA
Section_1.2:Resultat,Categorical,rempli,visit_outcome,completed,mali,champs1,NA,Visit outcome
Section_1.2:Resultat,Categorical,autres_resultat,visit_outcome,other,mali,champs1,NA,Visit outcome
Section_1.2:Autre_resultat,Non-categorical,Non-categorical variable,visit_outcome_other,NA,mali,champs1,NA,"Visit outcome, other"
Section_1.2:Resultat_rempli,Categorical,oui,NA,NA,mali,champs1,NA,NA
Section_1.2:Resultat_rempli,Categorical,non,NA,NA,mali,champs1,NA,NA
Section_1.2.Resultat_rempli_oui.Section_2.Relation,Categorical,mere,relationship,mother,mali,champs1,NA,What is the respondent's relationship to the deceased?
Section_1.2.Resultat_rempli_oui.Section_2.Relation,Categorical,pere,relationship,father,mali,champs1,NA,What is the respondent's relationship to the deceased?
Section_1.2.Resultat_rempli_oui.Section_2.Relation,Categorical,soeur,relationship,sister,mali,champs1,NA,What is the respondent's relationship to the deceased?
Section_1.2.Resultat_rempli_oui.Section_2.Relation,Categorical,frere,relationship,brother,mali,champs1,NA,What is the respondent's relationship to the deceased?
Section_1.2.Resultat_rempli_oui.Section_2.Relation,Categorical,grandmere,relationship,grandmother,mali,champs1,NA,What is the respondent's relationship to the deceased?
Section_1.2.Resultat_rempli_oui.Section_2.Relation,Categorical,grandpere,relationship,grandfather,mali,champs1,NA,What is the respondent's relationship to the deceased?
Section_1.2.Resultat_rempli_oui.Section_2.Relation,Categorical,tante,relationship,aunt,mali,champs1,NA,What is the respondent's relationship to the deceased?
Section_1.2.Resultat_rempli_oui.Section_2.Relation,Categorical,oncle,relationship,uncle,mali,champs1,NA,What is the respondent's relationship to the deceased?
Section_1.2.Resultat_rempli_oui.Section_2.Relation,Categorical,pas de relation,relationship,no_relation,mali,champs1,NA,What is the respondent's relationship to the deceased?
Section_1.2:Resultat_rempli_oui:Section_2:Relation,Categorical,autres,relationship,other,mali,champs1,NA,What is the respondent's relationship to the deceased?
Section_1.2:Resultat_rempli_oui:Section_2:Autres_relations,Non-categorical,Non-categorical variable,relationship_other,NA,mali,champs1,NA,What is the respondent's relationship to the deceased? Other
Section_1.2:Resultat_rempli_oui:Section_2:Viv_defunt,Categorical,oui,live_with_deceased,yes,mali,champs1,NA,Did the respondent live with the deceased in the period leading to her/his death?
Section_1.2:Resultat_rempli_oui:Section_2:Viv_defunt,Categorical,non,live_with_deceased,no,mali,champs1,NA,Did the respondent live with the deceased in the period leading to her/his death?
Section_1.2:Resultat_rempli_oui:Section_3:Ou_decede,Categorical,hopital,place_died,hospital,mali,champs1,NA,Where did the child die?
Section_1.2:Resultat_rempli_oui:Section_3:Ou_decede,Categorical,maison,place_died,home,mali,champs1,NA,Where did the child die?
Section_1.2:Resultat_rempli_oui:Section_3:Ou_decede,Categorical,autres,place_died,other,mali,champs1,NA,Where did the child die?
Section_1.2:Resultat_rempli_oui:Section_3:Ou_decede,Categorical,centre_sante,place_died,other_health_facility,mali,champs1,NA,Where did the child die?
Section_1.2:Resultat_rempli_oui:Section_3:Autres_decede,Non-categorical,Non-categorical variable,place_died_specific,NA,mali,champs1,NA,Where did the child die? Specific
Section_1.2:Resultat_rempli_oui:Section_3:Decede_centre,Categorical,non,place_died_health_centre,no,mali,champs1,NA,Did the child die in a health centre?
Section_1.2:Resultat_rempli_oui:Section_3:Decede_centre,Categorical,oui,place_died_health_centre,yes,mali,champs1,NA,Did the child die in a health centre?
Section_1.2:Resultat_rempli_oui:Section_3:Code_centre,Non-categorical,Non-categorical variable,health_centre_code,NA,mali,champs1,NA,Health centre code
Section_1.2:Resultat_rempli_oui:Section_4:Maladie,Non-categorical,Non-categorical variable,account_of_illness,NA,mali,champs1,NA,Family’s account of events around the child’s death
Section_1.2:Resultat_rempli_oui:Section_4:Cause1_mort,Non-categorical,Non-categorical variable,cause_death1,NA,mali,champs1,NA,Cause of death according to the respondent
