standardized_variable,full_question,notes
abdomen_mass,Did the child have any mass in the abdomen?,NA
abdomen_mass_duration,For how long before death did the child have a mass in the abdomen?,NA
abdomen_mass_unknown,For how long did the child have a mass inside the abdomen? Don't know,NA
abdomen_pain,Did the child have abdominal pain?,NA
abdomen_pain_severe,Was the abdominal pain severe?,NA
abdomen_problem,Did the child have abdominal problems?,NA
abdominal_pain_duration,For how long before death did s/he have severe abdominal pain?,NA
abnormal_size,Was the baby of abnormal size?,NA
abortion,Did the mother recently have a pregnancy that ended in abortion (spontaneous or induced)?,NA
accidentally_poisoned,Was the baby accidentally poisoned (including alcohol)?,NA
account_of_illness,Family account of events around the child's death,NA
admission_problems,Were there any problems during admission to the hospital or health facility?,NA
admitted_to_health_facility,Was the child admitted to a hospital or health facility during the illness?,NA
admitted_to_health_facility_name,"Was the child admitted to a hospital or health facility during the illness? Yes, name of health facility",NA
admitted_to_health_facility_reason,"Was the child admitted to a hospital or health facility during the illness? Yes, reason for admission",NA
age,Age of child,NA
age_days,Age of child in days,NA
age_dhm,"Age of child: Days, Hours, Minutes",NA
age_group,What age group corresponds to the deceased?,NA
age_illness_start,How many years old was the baby when the fatal illness started?,NA
age_months,Age of child in months,NA
age_months_years,"Age of child: Months, Years",NA
age_weeks,Age of child in weeks,NA
age_years,Age of child in years,NA
aids,Did the child suffer from HIV/AIDS? / Was there any diagnosis of HIV/AIDS?,see HIV
amodiaquine,Which antimalarial drug did the baby receive? Amodiaquine,NA
animal,Did the child suffer from an animal or insect bite that led to his/her death?,NA
animal_dog,Was the child bitten/injured by a dog?,NA
animal_insect,Was the child bitten/injured by an insect?,NA
animal_other,"If the child was injured by an animal/insect, what type of animal? Other",NA
animal_snake,Was the child bitten/injured by a snake?,NA
animal_specific,"If the child was injured by an animal/insect, what type of animal?",NA
anti_tb_akala,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Akala",who_2007_2_map and core_2_map
anti_tb_aluor,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Aluor",who_2007_2_map and core_2_map
anti_tb_barolengo,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Barolengo",who_2007_2_map and core_2_map
anti_tb_bondodh,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Bondo DH",who_2007_2_map and core_2_map
anti_tb_gongohc,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Gongo HC",who_2007_2_map and core_2_map
anti_tb_kotieno,"If the child received anti TB medication, at which health facility did the child collect TB drugs? K Otieno",who_2007_2_map and core_2_map
anti_tb_lwak,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Lwak",who_2007_2_map and core_2_map
anti_tb_ndori,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Ndori",who_2007_2_map and core_2_map
anti_tb_ngiya,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Ng'iya",who_2007_2_map and core_2_map
anti_tb_njenjra,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Nejra",who_2007_2_map and core_2_map
anti_tb_nyathengo,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Nyathengo",who_2007_2_map and core_2_map
anti_tb_nyawara,For how long before death did the child have severe abdominal pain?,who_2007_2_map and core_2_map
anti_tb_rera,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Rera",who_2007_2_map and core_2_map
anti_tb_siaya,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Siaya Medical",who_2007_2_map and core_2_map
anti_tb_siayadh,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Siaya DH",who_2007_2_map and core_2_map
anti_tb_tingwangi,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Ting'-Wangi",who_2007_2_map and core_2_map
anti_tb_wagai,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Wagai",who_2007_2_map and core_2_map
antibiotics,Did the child receive (or need) injectable antibiotics?,NA
antiretroviral,Did the child receive (or need) antiretroviral therapy (ART)?,NA
anyone_else_should_interview,Is there anyone else that should be interviewed?,NA
anyone_else_should_interview_specific,Is there anyone else that should be interviewed? Specific,NA
anything_applied_to_umbilical_stump,Was anything applied to the umbilical cord stump after birth?,NA
anything_applied_to_umbilical_stump_specific,Was anything applied to the umbilical cord stump after birth? Specific,NA
appear_healthy,Did the child appear healthy and then just die suddenly?,NA
appropriate_respondent,Have you (the interviewer) found the appropriate respondent?,NA
arms_legs_strength,Did the baby's arms/legs have strength?,NA
artesenate,Which antimalarial drug did the baby receive? Artesenate,NA
assault,"Was the child subject to violence (homicide, abuse)?",NA
assisted_breathing,Was the baby given assistance to breathe at birth?,NA
asthma,Did the child suffer from asthma?,NA
attempt_terminate_pregnancy,Did the mother attempt to terminate the pregnancy?,NA
availability,Respondent availability,NA
baby_breathe,Did the baby ever breathe?,NA
baby_breathe_after_birth,"Did the baby breathe immediately after birth, even a little?",NA
baby_breathing_problem,Did the baby have any breathing problem?,NA
baby_cry,Did the baby ever cry?,NA
baby_cry_after_birth,"Did the baby ever cry after birth, even if only a little bit?",NA
baby_move,Did the baby ever move?,NA
baby_size,Size of baby at time of birth,NA
baby_stop_moving,Did the baby stop moving in the womb?,NA
bcg,Note vaccines the child has received: BCG,"Gambia, WHO2016"
become_unresponsive,Did the baby become unresponsive or unconscious soon after birth?,WHO2012_map; see unresponsive_within_24_hours
between_convulsions,What was the state of the child between convulsions/fits?,NA
big_size,"Was the baby larger than normal, weighing over 4.5 kg?",NA
birth_date_known,Is the child's birth date known?,NA
birth_health_facility,Was the child born in a health facility?,NA
birth_healthy_baby_within_6_weeks_of_death,"Did the mother give birth to a live, healthy baby within 6 weeks of death?",NA
birth_home,Was the child born at home?,NA
birth_order,The birth order of the child that died,NA
birth_other_location,Was the child born somewhere else?,NA
birth_weight,What was the child's weight at birth?,NA
birth_weight_grams,What was the child's weight at birth in grams?,NA
birth_yellow_palms_soles,Did the baby have yellow palms or soles?,NA
black_vomit,Was the vomit black?,NA
bleed,"During the illness that led to death, did the child bleed from anywhere?",NA
bleed_nose_mouth_anus,"Did the child bleed from the nose, mouth, or anus?",NA
bleed_specific,"During the illness that led to death, did she bleed from anywhere? Specific",NA
blood_transfusion,Did the child receive (or need) a blood transfusion?,NA
bloody_stool,At any time during the final illness was there blood in the stool?,NA
bloody_stool_until_death,"If there was blood in the stool, did it continue until death?",NA
bloody_vomit,Was the vomit bloody?,NA
blue_colour,Was the baby blue in colour at birth?,NA
blunt_force,Was the child injured by a blunt force?,NA
body_soft_discolored,"Was the baby's body soft, pulpy and discolored and the skin peeling away?",NA
born_24_hours_after_water_broke,Was the baby born 24 hours or more after the water broke?,NA
born_dead,"If the baby did not cry or breathe, was it born dead?",NA
breastfeed_exclusive,Was the breastfeeding exclusive?,NA
breathing_problem,"During the illness that led to death, did the child have a breathing problem?",NA
breathing_sound,During the illness that led to death did his/her breathing sound like any of the following,"See noisy_breathing, wheezing"
breathless_lying_flat,Was the child breathless while lying flat?,NA
breathlessness,Did the child have breathlessness?,NA
breathlessness_duration,Duration of breathlessness,NA
breathlessness_unknown,For how long did the child have breathlessness? Don't know,NA
breeched,"Did the baby's bottom, feet, arm or hand come into the vagina before its head?",NA
bruises_injury,Were there any bruises or signs of injury on baby's body after the birth?,NA
