variable,variable_type,responses,question_standardized,response_standardized
IndividualID,Non-categorical,Non-categorical variable,filenumber,
Name_Deceased,Non-categorical,Non-categorical variable,name_deceased,
Q2A120_Surname,Non-categorical,Non-categorical variable,surname_interviewer,
Q2A120_Name,Non-categorical,Non-categorical variable,firstname_interviewer,
Q2A140,Non-categorical,Non-categorical variable,interview_date,
Q2A130_Time,Categorical,2,interview_time_of_day,evening
Q2A130_Time,Categorical,1,interview_time_of_day,morning
Q2A130,Non-categorical,Non-categorical variable,interview_time,
Q2A100_Surname,Non-categorical,Non-categorical variable,surname_respondent,
Q2A100_Name,Non-categorical,Non-categorical variable,firstname_respondent,
Q2A110,Categorical,1,relationship,father
Q2A110,Categorical,2,relationship,mother
Q2A110,Categorical,3,relationship,spouse
Q2A110,Categorical,4,relationship,sibling
Q2A110,Categorical,5,relationship,another_relationship
Q2A110,Categorical,6,relationship,no_relationship
Q2A110_Specify,Non-categorical,Non-categorical variable,relationship,relationship_specific
Q2A115,Categorical,1,live_with_deceased,yes
Q2A115,Categorical,2,live_with_deceased,no
Q1A100_Surname,Non-categorical,Non-categorical variable,surname_deceased,
Q1A100_Name,Non-categorical,Non-categorical variable,firstname_deceased,
Q1A110,Categorical,1,sex_deceased,female
Q1A110,Categorical,2,sex_deceased,male
Q1A200,Categorical,1,date_birth_known,yes
Q1A200,Categorical,2,date_birth_known,no
Q1A210,Non-categorical,Non-categorical variable,date_birth,
Q1A220,Categorical,1,date_death_known,yes
Q1A220,Categorical,2,date_death_known,no
Q1A230,Non-categorical,Non-categorical variable,date_death,
Q1A240_choice,Categorical,1,age_years,
Q1A240_choice,Categorical,2,age_months,
Q1A240_choicevalue,Non-categorical,Non-categorical variable,age,
A1A400,Categorical,1,woman_died,yes
A1A400,Categorical,2,woman_died,no
A1A400,Categorical,9,woman_died,dk
Q1A500,Categorical,1,citizenship_nationality,citizen_at_birth
Q1A500,Categorical,2,citizenship_nationality,naturalized_citizen
Q1A500,Categorical,3,citizenship_nationality,foreign_national
Q1A510,Categorical,1,ethnicity,sarahule
Q1A510,Categorical,2,ethnicity,mandinka
Q1A510,Categorical,3,ethnicity,fula
Q1A510,Categorical,4,ethnicity,other
Q1A510_other,Non-categorical,Non-categorical variable,ethnicity_other,
Q1A520,Categorical,1,place_of_birth,locality
Q1A520,Categorical,2,place_of_birth,dk
Q1A520,Categorical,3,place_of_birth,urban
Q1A520,Categorical,4,place_of_birth,rural
Q1A520_locality,Non-categorical,Non-categorical variable,place_of_birth_specific,
Q1A520_other,Non-categorical,Non-categorical variable,place_of_birth_other,
Q1A530,Categorical,1,place_of_usual_residence,locality
Q1A530,Categorical,2,place_of_usual_residence,dk
Q1A530_locality,Non-categorical,Non-categorical variable,place_of_usual_residence,
Q1A530_other,Non-categorical,Non-categorical variable,place_of_usual_residence,
Q1A540,Categorical,1,place_residence_before_death,locality
Q1A540,Categorical,2,place_residence_before_death,dk
Q1A540_locality,Non-categorical,Non-categorical variable,place_residence_before_death_specific,
Q1A540_other,Non-categorical,Non-categorical variable,place_residence_before_death_other,
Q1A550,Categorical,1,where_died,locality
Q1A550,Categorical,2,where_died,dk
Q1A550,Categorical,3,where_died,urban
Q1A550,Categorical,4,where_died,rural
Q1A550_locality,Non-categorical,Non-categorical variable,where_died_specific,
Q1A550_other,Non-categorical,Non-categorical variable,where_died_other,
Q1A560,Categorical,1,place_died,hospital
Q1A560,Categorical,2,place_died,other_health_facility
Q1A560,Categorical,3,place_died,home
Q1A560,Categorical,4,place_died,other
Q1A560,Categorical,5,place_died,dk
Q1A560_other,Non-categorical,Non-categorical variable,place_died_specific,
Q1A600,Categorical,1,marital_status,never_married
Q1A600,Categorical,2,marital_status,married
Q1A600,Categorical,3,marital_status,widowed
Q1A600,Categorical,4,marital_status,divorced
Q1A600,Categorical,5,marital_status,separated
Q1A600,Categorical,6,marital_status,dk
Q1A610,Non-categorical,Non-categorical variable,date_marriage,
Q1A630_surname,Non-categorical,Non-categorical variable,surname_mother,
Q1A630_name,Non-categorical,Non-categorical variable,name_mother,
Q1A620_surname,Non-categorical,Non-categorical variable,surname_father,
Q1A620_name,Non-categorical,Non-categorical variable,name_father,
Q1A700,Non-categorical,Non-categorical variable,death_registration_number,
Q1A710,Non-categorical,Non-categorical variable,death_registration_date,
Q1A720,Non-categorical,Non-categorical variable,death_registration_place,
Q1A720_locality,Non-categorical,Non-categorical variable,death_registration_place_specific,
Q1A720_reg_surname,Non-categorical,Non-categorical variable,surname_local_registrar,
Q1A720_reg_name,Non-categorical,Non-categorical variable,name_local_registrar,
Q1A730,Non-categorical,Non-categorical variable,deceased_national_id,
Account_illness,Non-categorical,Non-categorical variable,account_of_illness,
Cause_death1,Non-categorical,Non-categorical variable,cause_death1,
Cause_death2,Non-categorical,Non-categorical variable,cause_death2,
Q3D500,Non-categorical,Non-categorical variable,previous_births,
Q3D500_numberbirth,Non-categorical,Non-categorical variable,number_previous_births,
Q3D210,Non-categorical,Non-categorical variable,weeks_pregnancy,
Q3D210_weeks,Non-categorical,Non-categorical variable,weeks_pregnancy,
Q3D510,Categorical,1,mother_high_blood_pressure,yes
Q3D510,Categorical,2,mother_high_blood_pressure,no
Q3D510,Categorical,9,mother_high_blood_pressure,dk
Q3D550,Categorical,1,mother_vaginal_bleeding_late_pregnancy,yes
Q3D550,Categorical,2,mother_vaginal_bleeding_late_pregnancy,no
Q3D550,Categorical,9,mother_vaginal_bleeding_late_pregnancy,dk
