variable,variable_type,responses,question_standardized,response_standardized
dssid,Non-categorical,Non-categorical variable,,
neonate10004,Categorical,2,season,dry
neonate10004,Categorical,1,season,wet
neonate10007,Non-categorical,Non-categorical variable,name_respondent,
neonate10008,Categorical,1,relationship,parent
neonate10008,Categorical,2,relationship,child
neonate10008,Categorical,3,relationship,other
neonate10008,Categorical,4,relationship,family_member
neonate10008,Categorical,5,relationship,friend
neonate10008,Categorical,6,relationship,health_worker
neonate10008,Categorical,7,relationship,public_official
neonate10008,Categorical,8,relationship,another_relationship
neonate10009,Categorical,1,live_with_deceased,yes
neonate10009,Categorical,2,live_with_deceased,no
neonate10009,Categorical,3,live_with_deceased,dk
neonate10009,Categorical,4,live_with_deceased,refuse_to_answer
neonate10010,Non-categorical,Non-categorical variable,name_interviewer,
neonate10011,Non-categorical,Non-categorical variable,start_time,
neonate10012,Non-categorical,Non-categorical variable,interview_date,
neonate10013,Categorical,1,respondent_consent,yes
neonate10013,Categorical,2,respondent_consent,no
neonate10017,Non-categorical,Non-categorical variable,firstname_deceased,
neonate10018,Non-categorical,Non-categorical variable,surname_deceased,
neonate10019,Categorical,1,sex_deceased,female
neonate10019,Categorical,2,sex_deceased,male
neonate10020,Categorical,1,birth_date_known,yes
neonate10020,Categorical,2,birth_date_known,no
neonate10021,Non-categorical,Non-categorical variable,date_birth_deceased,
neonate10022,Categorical,1,date_death_known,yes
neonate10022,Categorical,2,date_death_known,no
neonate10023,Non-categorical,Non-categorical variable,date_death_deceased,
neonate_age_group,Categorical,1,age_group,neonate
neonate_age_group,Categorical,2,age_group,child
neonate_age_group,Categorical,3,age_group,adult
neonate_aaaa,Non-categorical,Non-categorical variable,age,
neonate_dhm_aaaa,Categorical,1,age_dhm,age_days
neonate_dhm_aaaa,Categorical,2,age_dhm,age_hours
neonate_dhm_aaaa,Categorical,3,age_dhm,age_minutes
neonate10051,Categorical,1,need_civil_registration,yes
neonate10052,Categorical,1,citizenship_nationality,citizen_at_birth
neonate10052,Categorical,2,citizenship_nationality,naturalized_citizen
neonate10052,Categorical,3,citizenship_nationality,foreign_national
neonate10052,Categorical,4,citizenship_nationality,dk
neonate10053,Non-categorical,Non-categorical variable,ethnicity,
neonate10054,Non-categorical,Non-categorical variable,place_of_usual_residence,
neonate10055,Non-categorical,Non-categorical variable,place_residence_before_death,
neonate10057,Non-categorical,Non-categorical variable,where_died,
neonate10058,Categorical,1,place_died,hospital
neonate10058,Categorical,2,place_died,other_health_facility
neonate10058,Categorical,3,place_died,home
neonate10058,Categorical,4,place_died,en_route_to_hospital
neonate10058,Categorical,5,place_died,other
neonate10058,Categorical,6,place_died,dk
neonate10058,Categorical,7,place_died,refuse_to_answer
neonate10061,Non-categorical,Non-categorical variable,name_father,
neonate10062,Non-categorical,Non-categorical variable,name_mother,
neonate10069,Categorical,1,civil_registration_needed,yes
neonate10069,Categorical,2,civil_registration_needed,no
neonate10070,Non-categorical,Non-categorical variable,death_registration_number,
neonate10071,Non-categorical,Non-categorical variable,death_registration_date,
neonate10072,Non-categorical,Non-categorical variable,death_registration_place,
neonate10073,Non-categorical,Non-categorical variable,deceased_national_id,
neonate10077,Categorical,1,injury_accident,yes
neonate10077,Categorical,2,injury_accident,no
neonate10077,Categorical,3,injury_accident,dk
neonate10077,Categorical,4,injury_accident,refuse_to_answer
neonate10079,Categorical,1,road_accident,yes
neonate10079,Categorical,2,road_accident,no
neonate10079,Categorical,3,road_accident,dk
neonate10079,Categorical,4,road_accident,refuse_to_answer
neonate10083,Categorical,1,injury_fall,yes
neonate10083,Categorical,2,injury_fall,no
neonate10083,Categorical,3,injury_fall,dk
neonate10083,Categorical,4,injury_fall,refuse_to_answer
neonate10084,Categorical,1,poisoning,yes
neonate10084,Categorical,2,poisoning,no
neonate10084,Categorical,3,poisoning,dk
neonate10084,Categorical,4,poisoning,refuse_to_answer
neonate10085,Categorical,1,drown,yes
neonate10085,Categorical,2,drown,no
neonate10085,Categorical,3,drown,dk
neonate10085,Categorical,4,drown,refuse_to_answer
neonate10086,Categorical,1,venomous_animal,yes
neonate10086,Categorical,2,venomous_animal,no
neonate10086,Categorical,3,venomous_animal,dk
neonate10086,Categorical,4,venomous_animal,refuse_to_answer
neonate10087,Categorical,1,non_venomous_animal,yes
neonate10087,Categorical,2,non_venomous_animal,no
neonate10087,Categorical,3,non_venomous_animal,dk
neonate10087,Categorical,4,non_venomous_animal,refuse_to_answer
neonate10088,Categorical,1,animal,dog
neonate10088,Categorical,2,animal,snake
neonate10088,Categorical,3,animal,insect
neonate10088,Categorical,4,animal,other
neonate10088,Categorical,5,animal,dk
neonate10089,Categorical,1,burn,yes
neonate10089,Categorical,2,burn,no
neonate10089,Categorical,3,burn,dk
neonate10089,Categorical,4,burn,refuse_to_answer
neonate10090,Categorical,1,assault,yes
neonate10090,Categorical,2,assault,no
neonate10090,Categorical,3,assault,dk
neonate10090,Categorical,4,assault,refuse_to_answer
neonate10091,Categorical,1,firearm,yes
neonate10091,Categorical,2,firearm,no
neonate10091,Categorical,3,firearm,dk
neonate10091,Categorical,4,firearm,refuse_to_answer
neonate10092,Categorical,1,stab,yes
neonate10092,Categorical,2,stab,no
neonate10092,Categorical,3,stab,dk
neonate10092,Categorical,4,stab,refuse_to_answer
neonate10093,Categorical,1,strangled,yes
neonate10093,Categorical,2,strangled,no
neonate10093,Categorical,3,strangled,dk
neonate10093,Categorical,4,strangled,refuse_to_answer
neonate10094,Categorical,1,blunt_force,yes
neonate10094,Categorical,2,blunt_force,no
neonate10094,Categorical,3,blunt_force,dk
neonate10094,Categorical,4,blunt_force,refuse_to_answer
neonate10095,Categorical,1,injury_nature,yes
neonate10095,Categorical,2,injury_nature,no
