variable,variable_type,responses,question_standardized,response_standardized
filenum,Non-categorical,Non-categorical variable,filenumber,
rage,Non-categorical,Non-categorical variable,respondent_age,
intsex,Categorical,2,sex_respondent,female
intsex,Categorical,1,sex_respondent,male
intrel,Categorical,1,relationship,biological_mother
intrel,Categorical,2,relationship,father
intrel,Categorical,3,relationship,grandparent
intrel,Categorical,4,relationship,aunt
intrel,Categorical,5,relationship,co_wife
intrel,Categorical,6,relationship,sibling
intrel,Categorical,7,relationship,adoptive_mother
intrel,Categorical,8,relationship,other
intav,Categorical,1,availability,present_for_visit
intav,Categorical,2,availability,absent_but_contact_later
intav,Categorical,3,availability,unavailable
intpar,Categorical,1,participation,primary_informant
intpar,Categorical,2,participation,secondary_informant
intpar,Categorical,3,participation,present_not_participate
intpar,Categorical,4,participation,did_not_participate
sexd,Categorical,1,sex_deceased,male
sexd,Categorical,2,sex_deceased,female
placd,Categorical,1,place_died,home
placd,Categorical,2,place_died,en_route_to_hospital
placd,Categorical,3,place_died,hospital
placd,Categorical,4,place_died,other
placd,Categorical,9,place_died,dk
placdoth,Non-categorical,Non-categorical variable,place_died_specific,
vedacct,Categorical,1,injury_accident,injury
vedacct,Categorical,2,injury_accident,accident
vedacct,Categorical,3,injury_accident,neither
vedacct,Categorical,9,injury_accident,dk
vedtype,Categorical,1,injury_type,transport_pedestrian
vedtype,Categorical,2,injury_type,transport_passenger
vedtype,Categorical,3,injury_type,fall
vedtype,Categorical,4,injury_type,drown
vedtype,Categorical,5,injury_type,poisoning
vedtype,Categorical,6,injury_type,bite_sting
vedtype,Categorical,7,injury_type,burn
vedtype,Categorical,8,injury_type,sharp_object
vedtype,Categorical,9,injury_type,assault
vedtype,Categorical,10,injury_type,other
vedtypeot,Non-categorical,Non-categorical variable,injury_type_specific,
mother,Categorical,1,mother_current_health,healthy
mother,Categorical,2,mother_current_health,sick
mother,Categorical,3,mother_current_health,died
mother,Categorical,9,mother_current_health,dk
vecompl,Categorical,1,complications_labour_deliery,yes
vecompl,Categorical,2,complications_labour_deliery,no
vecompl,Categorical,9,complications_labour_deliery,dk
motfits,Categorical,1,mother_convsulsions,yes
motfits,Categorical,2,mother_convsulsions,no
motfits,Categorical,9,mother_convsulsions,dk
motpresu,Categorical,1,mother_high_blood_pressure,yes
motpresu,Categorical,2,mother_high_blood_pressure,no
motpresu,Categorical,9,mother_high_blood_pressure,dk
motfebri,Categorical,1,mother_febrile_delivery,yes
motfebri,Categorical,2,mother_febrile_delivery,no
motfebri,Categorical,9,mother_febrile_delivery,dk
mottb,Categorical,1,mother_tb_during_pregnancy,yes
mottb,Categorical,2,mother_tb_during_pregnancy,no
mottb,Categorical,9,mother_tb_during_pregnancy,dk
motarv,Categorical,1,mother_arv_during_pregnancy,yes
motarv,Categorical,2,mother_arv_during_pregnancy,no
motarv,Categorical,9,mother_arv_during_pregnancy,dk
childarv,Categorical,1,child_arv,yes
childarv,Categorical,2,child_arv,no
childarv,Categorical,9,child_arv,dk
vepregc,Categorical,1,mother_antenatal_care,yes
vepregc,Categorical,2,mother_antenatal_care,no
vepregc,Categorical,9,mother_antenatal_care,dk
vepregfs,Categorical,1,mother_sp_fansidar,yes
vepregfs,Categorical,2,mother_sp_fansidar,no
vepregfs,Categorical,9,mother_sp_fansidar,dk
vepregtt,Categorical,1,mother_tetnus,yes
vepregtt,Categorical,2,mother_tetnus,no
vepregtt,Categorical,9,mother_tetnus,dk
vepregttno,Non-categorical,Non-categorical variable,number_tetnus_injections,
veborn,Categorical,1,where_born,home
veborn,Categorical,2,where_born,hospital
veborn,Categorical,3,where_born,traditional_birth_attendant_home
veborn,Categorical,4,where_born,on_route_to_hospital
veborn,Categorical,5,where_born,other
veborn,Categorical,9,where_born,dk
vebornot,Non-categorical,Non-categorical variable,where_born_specific,
vedelivery,Categorical,vedalone,who_assisted_delivery,no_one
vedelivery,Categorical,vednyamt,who_assisted_delivery,nyamrerwa_trained
vedelivery,Categorical,vedmd,who_assisted_delivery,doctor
vedelivery,Categorical,vedwomen,who_assisted_delivery,other_women
vedelivery,Categorical,vedother,who_assisted_delivery,other
vedother,Non-categorical,Non-categorical variable,who_assisted_delivery_specific,
caedeliv,Categorical,1,caesarean,yes
caedeliv,Categorical,2,caesarean,no
caedeliv,Categorical,9,caesarean,dk
prollab,Categorical,1,prolonged_labour,yes
prollab,Categorical,2,prolonged_labour,no
prollab,Categorical,9,prolonged_labour,dk
wtbreak,Categorical,1,water_break_24_hours_before_delivery,yes
wtbreak,Categorical,2,water_break_24_hours_before_delivery,no
wtbreak,Categorical,9,water_break_24_hours_before_delivery,dk
childpre,Categorical,1,premature,yes
childpre,Categorical,2,premature,no
childpre,Categorical,9,premature,dk
preweek,Non-categorical,Non-categorical variable,duration_pregnancy_weeks,
premonth,Non-categorical,Non-categorical variable,duration_pregnancy_months,
babplay,Categorical,1,moving_before_birth,yes
babplay,Categorical,2,moving_before_birth,no
babplay,Categorical,9,moving_before_birth,dk
babreath,Categorical,1,baby_breathe,yes
babreath,Categorical,2,baby_breathe,no
babreath,Categorical,9,baby_breathe,dk
babdead,Categorical,1,born_dead,yes
babdead,Categorical,2,born_dead,no
babdead,Categorical,9,born_dead,dk
umbcord,Categorical,1,umbilical_wrap_neck,yes
umbcord,Categorical,2,umbilical_wrap_neck,no
umbcord,Categorical,9,umbilical_wrap_neck,dk
motherdiab,Categorical,1,mother_diabetes,yes
motherdiab,Categorical,2,mother_diabetes,no
motherdiab,Categorical,9,mother_diabetes,dk
mothertb,Categorical,1,mother_tb,yes
mothertb,Categorical,2,mother_tb,no
mothertb,Categorical,9,mother_tb,dk
motherhiv,Categorical,1,mother_hiv,yes
motherhiv,Categorical,2,mother_hiv,no
motherhiv,Categorical,9,mother_hiv,dk
none,Categorical,1,mother_no_diabetes_tb,none
intreloth,Non-categorical,Non-categorical variable,relationship_specific,
venstbcr,Categorical,1,baby_cry,yes
venstbcr,Categorical,2,baby_cry,no
venstbcr,Categorical,9,baby_cry,dk
venbsuck,Categorical,1,suckle_feed,yes
venbsuck,Categorical,2,suckle_feed,no
venbsuck,Categorical,9,suckle_feed,dk
bsuckno,Categorical,1,problem_child_or_mother,mother
bsuckno,Categorical,2,problem_child_or_mother,child
bsuckno,Categorical,9,problem_child_or_mother,dk
weight,Categorical,1,weighed_after_birth,yes
weight,Categorical,2,weighed_after_birth,no
weight,Categorical,9,weighed_after_birth,dk
bwt,Non-categorical,Non-categorical variable,birth_weight,
vebinj,Categorical,1,sign_injury_broken_bones,yes
vebinj,Categorical,2,sign_injury_broken_bones,no
vebinj,Categorical,9,sign_injury_broken_bones,dk
skincol,Categorical,1,skin_color,normal
skincol,Categorical,2,skin_color,purple
skincol,Categorical,3,skin_color,pale
skincol,Categorical,9,skin_color,dk
alstrngth,Categorical,1,arms_legs_strength,yes
alstrngth,Categorical,2,arms_legs_strength,no
alstrngth,Categorical,9,arms_legs_strength,dk
vebdef,Categorical,1,malformation,yes
vebdef,Categorical,2,malformation,no
vebdef,Categorical,9,malformation,dk
veneyell,Categorical,1,eye_color_change_jaundice,yes
veneyell,Categorical,2,eye_color_change_jaundice,no
veneyell,Categorical,9,eye_color_change_jaundice,dk
yedays,Non-categorical,Non-categorical variable,days_eye_color_change_jaundice,
pumbcord,Categorical,1,problems_umbilical_cord,yes
pumbcord,Categorical,2,problems_umbilical_cord,no
pumbcord,Categorical,9,problems_umbilical_cord,dk
wpumbcod,Categorical,1,problems_umbilical_cord_specific,wrapped_around_neck
wpumbcod,Categorical,2,problems_umbilical_cord_specific,came_out_before_baby
wpumbcod,Categorical,3,problems_umbilical_cord_specific,other
owpumbcod,Non-categorical,Non-categorical variable,problems_umbilical_cord_specific_other,
vesfev,Categorical,1,fever,yes
vesfev,Categorical,2,fever,no
vesfev,Categorical,9,fever,dk
