variable,variable_type,responses,question_standardized,response_standardized
filenum,Non-categorical,Non-categorical variable,filenumber,
care,Categorical,1,treatment,yes
care,Categorical,2,treatment,no
care,Categorical,3,treatment,na
care,Categorical,9,treatment,dk
home,Categorical,1,treatment_home,yes
home,Categorical,2,treatment_home,no
home,Categorical,8,treatment_home,dk
tha,Categorical,1,treatment_traditional_healer,yes
tha,Categorical,2,treatment_traditional_healer,no
tha,Categorical,8,treatment_traditional_healer,dk
govclinic,Categorical,1,treatment_government_clinic,yes
govclinic,Categorical,2,treatment_government_clinic,no
govclinic,Categorical,9,treatment_government_clinic,dk
govhosp,Categorical,1,treatment_government_hospital,yes
govhosp,Categorical,2,treatment_government_hospital,no
govhosp,Categorical,8,treatment_government_hospital,dk
privclinic,Categorical,1,treatment_private_clinic,yes
privclinic,Categorical,2,treatment_private_clinic,no
privclinic,Categorical,9,treatment_private_clinic,dk
privhosp,Categorical,1,treatment_private_hospital,yes
privhosp,Categorical,2,treatment_private_hospital,no
privhosp,Categorical,9,treatment_private_hospital,dk
pds,Categorical,1,treatment_pharmacy,yes
pds,Categorical,2,treatment_pharmacy,no
pds,Categorical,9,treatment_pharmacy,dk
rel,Categorical,1,treatment_relgious,yes
rel,Categorical,2,treatment_relgious,no
rel,Categorical,9,treatment_relgious,dk
tba,Categorical,1,treatment_nyamrerwa,yes
tba,Categorical,2,treatment_nyamrerwa,no
tba,Categorical,9,treatment_nyamrerwa,dk
bus,Categorical,1,treatment_bush_doctor,yes
bus,Categorical,2,treatment_bush_doctor,no
bus,Categorical,9,treatment_bush_doctor,dk
otcasp,Non-categorical,Non-categorical variable,treatment_specific,
vechospital,Non-categorical,Non-categorical variable,name_of_hospital,
vechoth,Non-categorical,Non-categorical variable,hospital_other,
otvechosp,Non-categorical,Non-categorical variable,name_of_hospital_other,
vecarhpn,Non-categorical,Non-categorical variable,nights_in_hospital,
contact,Non-categorical,Non-categorical variable,contacts_w_health_facility_before_death,
hccod,Categorical,1,told_cause_of_death,yes
hccod,Categorical,2,told_cause_of_death,no
hccod,Categorical,9,told_cause_of_death,dk
hrem,Categorical,1,traditiaonal_medicine_used,yes
hrem,Categorical,2,traditiaonal_medicine_used,no
hrem,Categorical,3,traditiaonal_medicine_used,dk
hrem,Categorical,9,traditiaonal_medicine_used,na
wesd,Categorical,1,western_drugs,yes
wesd,Categorical,2,western_drugs,no
wesd,Categorical,3,western_drugs,dk
medi,Categorical,1,medication_received,antimalarial
medi,Categorical,2,medication_received,antibiotics
medi,Categorical,3,medication_received,arvs
medi,Categorical,4,medication_received,blood_transfusion
coart,Categorical,1,coartem,yes
coart,Categorical,2,coartem,no
coart,Categorical,3,coartem,dk
qui,Categorical,1,quinine,yes
qui,Categorical,2,quinine,no
