variable,variable_type,responses,question_standardized,response_standardized
HouseKeeping_Info:deviceid,Non-categorical,Non-categorical variable,,
HouseKeeping_Info:simserial,Non-categorical,Non-categorical variable,,
alternate_id_begin:alt_id_1_1,Non-categorical,Non-categorical variable,filenumber,
presets:Id10002,Categorical,very,region_hiv_mortality,very_low
presets:Id10002,Categorical,low,region_hiv_mortality,low
presets:Id10002,Categorical,high,region_hiv_mortality,high
presets:Id10003,Categorical,very,region_malaria_mortality,very_low
presets:Id10003,Categorical,low,region_malaria_mortality,low
presets:Id10003,Categorical,high,region_malaria_mortality,high
presets:Id10004,Categorical,dry,season,dry
presets:Id10004,Categorical,wet,season,wet
presets:Id10004,Categorical,dk,season,dk
respondent_backgr:Id10007,Non-categorical,Non-categorical variable,respondent_name,
respondent_backgr:Id10001,Categorical,parent,relationship,parent
respondent_backgr:Id10002,Categorical,family_member,relationship,family_member
respondent_backgr:Id10003,Categorical,child,relationship,child
respondent_backgr:Id10004,Categorical,friend,relationship,friend
respondent_backgr:Id10005,Categorical,health_worker,relationship,health_worker
respondent_backgr:Id10006,Categorical,public_official,relationship,public_official
respondent_backgr:Id10007,Categorical,another_relationship,relationship,another_relationship
respondent_backgr:Id10009,Categorical,yes,live_with_deceased,yes
respondent_backgr:Id10009,Categorical,no,live_with_deceased,no
respondent_backgr:Id10009,Categorical,dk,live_with_deceased,dk
respondent_backgr:Id10009,Categorical,ref,live_with_deceased,refuse_to_answer
respondent_backgr:Id10010,Non-categorical,Non-categorical variable,interviewer_name,
respondent_backgr:Id10011,Non-categorical,Non-categorical variable,start_time,
respondent_backgr:Id10012,Non-categorical,Non-categorical variable,interview_date,
respondent_backgr:Id10013,Non-categorical,yes,consent_interview,yes
respondent_backgr:Id10013,Categorical,no,consent_interview,no
consented:deceased_CRVS:info_on_deceased:Id10017,Non-categorical,Non-categorical variable,firstname_deceased,
consented:deceased_CRVS:info_on_deceased:Id10018,Non-categorical,Non-categorical variable,surname_deceased,
consented:deceased_CRVS:info_on_deceased:Id10019,Categorical,female,sex_deceased,female
consented:deceased_CRVS:info_on_deceased:Id10019,Categorical,male,sex_deceased,male
consented:deceased_CRVS:info_on_deceased:Id10020,Categorical,yes,date_birth_known,yes
consented:deceased_CRVS:info_on_deceased:Id10020,Categorical,no,date_birth_known,no
consented:deceased_CRVS:info_on_deceased:Id10021,Non-categorical,Non-categorical variable,date_birth_deceased,
consented:deceased_CRVS:info_on_deceased:Id10022,Categorical,yes,date_death_known,yes
consented:deceased_CRVS:info_on_deceased:Id10022,Categorical,no,date_death_known,no
consented:deceased_CRVS:info_on_deceased:Id10023,Non-categorical,Non-categorical variable,date_death_deceased,
consented:deceased_CRVS:info_on_deceased:Id10024,Non-categorical,Non-categorical variable,year_death,
consented:deceased_CRVS:info_on_deceased:ageInDays,Non-categorical,Non-categorical variable,age_days,
consented:deceased_CRVS:info_on_deceased:ageInYears,Non-categorical,Non-categorical variable,age_years,
consented:deceased_CRVS:info_on_deceased:ageInWeeks,Non-categorical,Non-categorical variable,age_weeks,
consented:deceased_CRVS:info_on_deceased:isNeonatal1,Categorical,1,deceased_neonatal,yes
consented:deceased_CRVS:info_on_deceased:isNeonatal1,Categorical,0,deceased_neonatal,no
consented:deceased_CRVS:info_on_deceased:isChild1,Categorical,0,deceased_child,no
consented:deceased_CRVS:info_on_deceased:isChild1,Categorical,1,deceased_child,yes
consented:deceased_CRVS:info_on_deceased:isAdult1,Categorical,0,deceased_adult,no
consented:deceased_CRVS:info_on_deceased:isAdult2,Categorical,1,deceased_adult,yes
consented:deceased_CRVS:info_on_deceased:ageInMonthsByYear,Non-categorical,Non-categorical variable,,
consented:deceased_CRVS:info_on_deceased:isChildAgeLessThanOne,Categorical,1,child_age_under_1,yes
consented:deceased_CRVS:info_on_deceased:isChildAgeLessThanOne,Categorical,0,child_age_under_1,no
consented:deceased_CRVS:info_on_deceased:ill_ageInMonth1,Non-categorical,Non-categorical variable,age_months,
consented:deceased_CRVS:info_on_deceased:ageInDaysNeonate,Non-categorical,Non-categorical variable,age_days,
consented:deceased_CRVS:info_on_deceased:Id10058,Categorical,hospital,place_died,hospital
consented:deceased_CRVS:info_on_deceased:Id10058,Categorical,other_health_facility,place_died,other_health_facility
consented:deceased_CRVS:info_on_deceased:Id10058,Categorical,home,place_died,home
consented:deceased_CRVS:info_on_deceased:Id10058,Categorical,on_route_to_hospital_or_facility,place_died,on_route_to_hospital_or_facility
consented:deceased_CRVS:info_on_deceased:Id10058,Categorical,other,place_died,other
consented:deceased_CRVS:info_on_deceased:Id10058,Categorical,dk,place_died,dk
consented:deceased_CRVS:info_on_deceased:Id10058,Categorical,ref,place_died,refuse_to_answer
consented:deceased_CRVS:info_on_deceased:Id10051,Categorical,yes,civil_registration_needed,yes
consented:deceased_CRVS:info_on_deceased:Id10051,Categorical,no,civil_registration_needed,no
consented:deceased_CRVS:info_on_deceased:Id10052,Categorical,citizen_at_birth,citizenship_nationality,citizen_at_birth
consented:deceased_CRVS:info_on_deceased:Id10052,Categorical,naturalized_citizen,citizenship_nationality,naturalized_citizen
consented:deceased_CRVS:info_on_deceased:Id10052,Categorical,foreign_national,citizenship_nationality,foreign_national
consented:deceased_CRVS:info_on_deceased:Id10052,Categorical,dk,citizenship_nationality,dk
consented:deceased_CRVS:info_on_deceased:Id10053,Non-categorical,Non-categorical variable,ethnicity,
consented:deceased_CRVS:info_on_deceased:Id10054,Non-categorical,Non-categorical variable,place_of_birth,
consented:deceased_CRVS:info_on_deceased:Id10055,Non-categorical,Non-categorical variable,place_of_usual_residence,
consented:deceased_CRVS:info_on_deceased:Id10056,Non-categorical,Non-categorical variable,place_residence_before_death,
consented:deceased_CRVS:info_on_deceased:Id10057,Non-categorical,Non-categorical variable,place_of_death,
consented:deceased_CRVS:info_on_deceased:Id10061,Non-categorical,Non-categorical variable,name_father,
consented:deceased_CRVS:info_on_deceased:Id10062,Non-categorical,Non-categorical variable,name_mother,
consented:deceased_CRVS:info_on_deceased:Id10063,Categorical,no_formal_education,highest_education,no_formal_education
consented:deceased_CRVS:info_on_deceased:Id10063,Categorical,primary_school,highest_education,primary_school
consented:deceased_CRVS:info_on_deceased:Id10063,Categorical,secondary_school,highest_education,secondary_school
consented:deceased_CRVS:info_on_deceased:Id10063,Categorical,higher_than_secondary_school,highest_education,higher_than_secondary_school
consented:deceased_CRVS:info_on_deceased:Id10063,Categorical,dk,highest_education,dk
consented:deceased_CRVS:info_on_deceased:Id10063,Categorical,ref,highest_education,refuse_to_answer
consented:deceased_CRVS:info_on_deceased:Id10064,Categorical,yes,literate,yes
consented:deceased_CRVS:info_on_deceased:Id10064,Categorical,no,literate,no
consented:deceased_CRVS:info_on_deceased:Id10065,Categorical,mainly_unemployed,main_economic_activity,mainly_unemployed
consented:deceased_CRVS:info_on_deceased:Id10065,Categorical,mainly_employed,main_economic_activity,mainly_employed
consented:deceased_CRVS:info_on_deceased:Id10065,Categorical,homemaker,main_economic_activity,homemaker
consented:deceased_CRVS:info_on_deceased:Id10065,Categorical,pensioner,main_economic_activity,pensioner
consented:deceased_CRVS:info_on_deceased:Id10065,Categorical,student,main_economic_activity,student
consented:deceased_CRVS:info_on_deceased:Id10065,Categorical,other,main_economic_activity,other
consented:deceased_CRVS:info_on_deceased:Id10065,Categorical,dk,main_economic_activity,dk
consented:deceased_CRVS:info_on_deceased:Id10065,Categorical,ref,main_economic_activity,refuse_to_answer
consented:deceased_CRVS:info_on_deceased:Id10066,Non-categorical,Non-categorical variable,occupation,
consented:deceased_CRVS:vital_reg_certif:Id10069,Categorical,yes,need_civil_registration,yes
consented:deceased_CRVS:vital_reg_certif:Id10069,Categorical,no,need_civil_registration,no
consented:deceased_CRVS:vital_reg_certif:Id10070,Non-categorical,Non-categorical variable,death_registration_number,
consented:deceased_CRVS:vital_reg_certif:Id10071,Non-categorical,Non-categorical variable,death_registration_date,
consented:deceased_CRVS:vital_reg_certif:Id10072,Non-categorical,Non-categorical variable,death_registration_place,
consented:deceased_CRVS:vital_reg_certif:Id10073,Non-categorical,Non-categorical variable,deceased_national_id,
consented:injuries_accidents:Id10077,Categorical,yes,injury_accident,yes
consented:injuries_accidents:Id10077,Categorical,no,injury_accident,no
consented:injuries_accidents:Id10077,Categorical,dk,injury_accident,dk
consented:injuries_accidents:Id10077,Categorical,ref,injury_accident,refuse_to_answer
consented:injuries_accidents:injuries_accidents_yes:Id10079,Categorical,yes,road_accident,yes
consented:injuries_accidents:injuries_accidents_yes:Id10079,Categorical,no,road_accident,no
consented:injuries_accidents:injuries_accidents_yes:Id10079,Categorical,dk,road_accident,dk
consented:injuries_accidents:injuries_accidents_yes:Id10079,Categorical,ref,road_accident,refuse_to_answer
consented:injuries_accidents:injuries_accidents_yes:Id10080,Categorical,pedestrian,role_traffic_accident,pedestrian
consented:injuries_accidents:injuries_accidents_yes:Id10080,Categorical,,role_traffic_accident,driver_passenger_car
consented:injuries_accidents:injuries_accidents_yes:Id10080,Categorical,,role_traffic_accident,driver_passenger_bus
consented:injuries_accidents:injuries_accidents_yes:Id10080,Categorical,,role_traffic_accident,driver_passenger_motorcycle
consented:injuries_accidents:injuries_accidents_yes:Id10080,Categorical,,role_traffic_accident,driver_passenger_bike
consented:injuries_accidents:injuries_accidents_yes:Id10080,Categorical,,role_traffic_accident,other
consented:injuries_accidents:injuries_accidents_yes:Id10081,Categorical,pedestrian,counterpart_traffic_accident,pedestrian
consented:injuries_accidents:injuries_accidents_yes:Id10081,Categorical,stationary_object,counterpart_traffic_accident,stationary_object
consented:injuries_accidents:injuries_accidents_yes:Id10081,Categorical,car_or_light_vehicle,counterpart_traffic_accident,car_or_light_vehicle
consented:injuries_accidents:injuries_accidents_yes:Id10081,Categorical,bus_or_heavy_vehicle,counterpart_traffic_accident,bus_or_heavy_vehicle
consented:injuries_accidents:injuries_accidents_yes:Id10081,Categorical,motorcycle,counterpart_traffic_accident,motorcycle
consented:injuries_accidents:injuries_accidents_yes:Id10081,Categorical,pedal_cycle,counterpart_traffic_accident,pedal_cycle
consented:injuries_accidents:injuries_accidents_yes:Id10081,Categorical,other,counterpart_traffic_accident,other
consented:injuries_accidents:injuries_accidents_yes:Id10082,Categorical,yes,non_road_accident,yes
consented:injuries_accidents:injuries_accidents_yes:Id10082,Categorical,no,non_road_accident,no
consented:injuries_accidents:injuries_accidents_yes:Id10082,Categorical,dk,non_road_accident,dk
consented:injuries_accidents:injuries_accidents_yes:Id10082,Categorical,ref,non_road_accident,refuse_to_answer
consented:injuries_accidents:injuries_accidents_yes:Id10083,Categorical,yes,injury_fall,yes
consented:injuries_accidents:injuries_accidents_yes:Id10083,Categorical,no,injury_fall,no
consented:injuries_accidents:injuries_accidents_yes:Id10083,Categorical,dk,injury_fall,dk
consented:injuries_accidents:injuries_accidents_yes:Id10083,Categorical,ref,injury_fall,refuse_to_answer
consented:injuries_accidents:injuries_accidents_yes:Id10084,Categorical,yes,poisoning,yes
consented:injuries_accidents:injuries_accidents_yes:Id10084,Categorical,no,poisoning,no
consented:injuries_accidents:injuries_accidents_yes:Id10084,Categorical,dk,poisoning,dk
consented:injuries_accidents:injuries_accidents_yes:Id10084,Categorical,ref,poisoning,refuse_to_answer
consented:injuries_accidents:injuries_accidents_yes:Id10085,Categorical,yes,drown,yes
consented:injuries_accidents:injuries_accidents_yes:Id10085,Categorical,no,drown,no
consented:injuries_accidents:injuries_accidents_yes:Id10085,Categorical,dk,drown,dk
consented:injuries_accidents:injuries_accidents_yes:Id10085,Categorical,ref,drown,refuse_to_answer
consented:injuries_accidents:injuries_accidents_yes:Id10086,Categorical,yes,venomous_animal,yes
consented:injuries_accidents:injuries_accidents_yes:Id10086,Categorical,no,venomous_animal,no
