variable,variable_type,responses,question_standardized,response_standardized
SUBJECTID,Non-categorical,Non-categorical variable,filenumber,
VISIT,Non-categorical,Non-categorical variable,visit,
VISIT_DATE,Non-categorical,Non-categorical variable,visit_date,
START_TIME,Non-categorical,Non-categorical variable,start_time,
DATE_BIRTH,Non-categorical,Non-categorical variable,date_birth_deceased,
GENDER,Categorical,1,sex_deceased,male
GENDER,Categorical,2,sex_deceased,female
DATE_DEATH,Non-categorical,Non-categorical variable,date_death_deceased,
AGE,Non-categorical,Non-categorical variable,age_months,
DSS_ID,Non-categorical,Non-categorical variable,,
OUTCOME,Categorical,1,visit_outcome,completed
OUTCOME,Categorical,2,visit_outcome,not_at_home
OUTCOME,Categorical,3,visit_outcome,postponed
OUTCOME,Categorical,4,visit_outcome,refused
OUTCOME,Categorical,5,visit_outcome,partly_completed
OUTCOME,Categorical,6,visit_outcome,no_respondent
OUTCOME_SPEC,Non-categorical,Non-categorical variable,visit_outcome_other,
INT_CODE,Non-categorical,Non-categorical variable,interviewer_code,
RELATION,Categorical,1,relationship,mother
RELATION,Categorical,2,relationship,father
RELATION,Categorical,3,relationship,sister
RELATION,Categorical,4,relationship,brother
RELATION,Categorical,5,relationship,grandmother
RELATION,Categorical,6,relationship,grandfather
RELATION,Categorical,7,relationship,aunt
RELATION,Categorical,8,relationship,uncle
RELATION,Categorical,9,relationship,no_relation
RELATION_SPEC,Non-categorical,Non-categorical variable,relationship_other,
LIVE_WITH,Categorical,1,live_with_deceased,yes
LIVE_WITH,Categorical,2,live_with_deceased,no
WHEREDIED,Categorical,1,place_died,hospital
WHEREDIED,Categorical,2,place_died,sentinel_health_facility
WHEREDIED,Categorical,3,place_died,home
WHEREDIED,Categorical,4,place_died,other_health_facility
WHEREDIED,Categorical,5,place_died,dk
WHEREDIED_SFAC,Non-categorical,Non-categorical variable,sentinel_health_facility_specific,
WHEREDIED_OFAC,Non-categorical,Non-categorical variable,facility_name,
WHEREDIED_SPEC,Non-categorical,Non-categorical variable,place_died_specific,
ILLNESS_DETAILS,Non-categorical,Non-categorical variable,account_of_illness,
CAUSE1,Non-categorical,Non-categorical variable,cause_death1,
CAUSE2,Non-categorical,Non-categorical variable,cause_death2,
ILL_HEART,Categorical,1,heart_disease,yes
ILL_HEART,Categorical,2,heart_disease,no
ILL_HEART,Categorical,3,heart_disease,dk
