abdomen_mass,Did the child have any mass in the abdomen?,
abdomen_mass_duration,For how long before death did the child have a mass in the abdomen?,
abdomen_pain,Did the child have abdominal pain?,
abdomen_pain_severe,Was the abdominal pain severe?,
abdomen_problem,Did the child have abdominal problems?,
abdominal_pain_duration,For how long before death did s/he have severe abdominal pain?,
abnormal_size,Was the baby of abnormal size?,
abortion,Did the mother recently have a pregnancy that ended in abortion (spontaneous or induced)?,
accidentally_poisoned,Was the baby accidentally poisoned (including alcohol)?,
account_of_illness,Family’s account of events around the child’s death,
admission_problems,Were there any problems during admission to the hospital or health facility?,
admitted_to_health_facility,Was the child admitted to a hospital or health facility during the illness?,
admitted_to_health_facility_name,"Was the child admitted to a hospital or health facility during the illness? Yes, name of health facility",
admitted_to_health_facility_reason,"Was the child admitted to a hospital or health facility during the illness? Yes, reason for admission",
age,Age of child,
age_days,Age of child in days,
age_dhm,"Age of child: Days, Hours, Minutes ",
age_group,What age group corresponds to the deceased?,
age_illness_start,How many years old was the baby when the fatal illness started?,
age_months,Age of child in months,
age_months_years,"Age of child: Months, Years",
age_weeks,Age of child in weeks,
age_years,Age of child in years,
aids,Did the child suffer from HIV/AIDS? / Was there any diagnosis of HIV/AIDS?,see HIV
amodiaquine,Which antimalarial drug did the baby receive? Amodiaquine,
animal,Did the child suffer from an animal or insect bite that led to his/her death?,
animal_dog,Was the child bitten/injured by a dog?,
animal_insect,Was the child bitten/injured by an insect?,
animal_other,"If the child was injured by an animal/insect, what type of animal? Other",
animal_snake,Was the child bitten/injured by a snake?,
animal_specific,"If the child was injured by an animal/insect, what type of animal?",
anti_tb_akala,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Akala",who_2007_2_map and core_2_map
anti_tb_aluor,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Aluor",who_2007_2_map and core_2_map
anti_tb_barolengo,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Barolengo",who_2007_2_map and core_2_map
anti_tb_bondodh,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Bondo DH",who_2007_2_map and core_2_map
anti_tb_gongohc,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Gongo HC",who_2007_2_map and core_2_map
anti_tb_kotieno,"If the child received anti TB medication, at which health facility did the child collect TB drugs? K Otieno",who_2007_2_map and core_2_map
anti_tb_lwak,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Lwak",who_2007_2_map and core_2_map
anti_tb_ndori,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Ndori",who_2007_2_map and core_2_map
anti_tb_ngiya,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Ng'iya",who_2007_2_map and core_2_map
anti_tb_njenjra,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Nejra",who_2007_2_map and core_2_map
anti_tb_nyathengo,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Nyathengo",who_2007_2_map and core_2_map
anti_tb_nyawara,For how long before death did the child have severe abdominal pain?,who_2007_2_map and core_2_map
anti_tb_rera,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Rera",who_2007_2_map and core_2_map
anti_tb_siaya,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Siaya Medical",who_2007_2_map and core_2_map
anti_tb_siayadh,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Siaya DH",who_2007_2_map and core_2_map
anti_tb_tingwangi,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Ting'-Wangi",who_2007_2_map and core_2_map
anti_tb_wagai,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Wagai",who_2007_2_map and core_2_map
antibiotics,Did the child receive (or need) injectable antibiotics?,
antiretroviral,Did the child receive (or need) antiretroviral therapy (ART)?,
anyone_else_should_interview,Is there anyone else that should be interviewed?,
anyone_else_should_interview_specific,Is there anyone else that should be interviewed? Specific,
anything_applied_to_umbilical_stump,Was anything applied to the umbilical cord stump after birth?,
anything_applied_to_umbilical_stump_specific,Was anything applied to the umbilical cord stump after birth? Specific,
appear_healthy,Did the child appear healthy and then just die suddenly?,
appropriate_respondent,Have you (the interviewer) found the appropriate respondent?,
arms_legs_strength,Did the baby's arms/legs have strength?,
artesenate,Which antimalarial drug did the baby receive? Artesenate,
assault,"Was the child subject to violence (homicide, abuse)?",
assisted_breathing,Was the baby given assistance to breathe at birth?,
asthma,Did the child suffer from asthma?,
attempt_terminate_pregnancy,Did the mother attempt to terminate the pregnancy?,
availability,Respondent availability,
baby_breathe,Did the baby ever breathe?,
baby_breathe_after_birth,"Did the baby breathe immediately after birth, even a little?",
baby_breathing_problem,Did the baby have any breathing problem?,
baby_cry,Did the baby ever cry?,
baby_cry_after_birth,"Did the baby ever cry after birth, even if only a little bit?",
baby_move,Did the baby ever move?,
baby_size,Size of baby at time of birth,
baby_stop_moving,Did the baby stop moving in the womb?,
bcg,Note vaccines the child has received: BCG,"Gambia, WHO2016"
become_unresponsive,Did the baby become unresponsive or unconscious soon after birth?,WHO2012_map; see unresponsive_within_24_hours
between_convulsions,What was the state of the child between convulsions/fits?,
big_size,"Was the baby larger than normal, weighing over 4.5 kg?",
birth_date_known,Is the child's birth date known?,
birth_health_facility,Was the child born in a health facility?,
birth_healthy_baby_within_6_weeks_of_death,"Did the mother give birth to a live, healthy baby within 6 weeks of death?",
birth_home,Was the child born at home?,
birth_order,The birth order of the child that died,
birth_other_location,Was the child born somewhere else?,
birth_weight,Was was the child's weight at birth?,
birth_weight_grams,Was was the child's weight at birth in grams?,
birth_yellow_palms_soles,Did the baby have yellow palms or soles?,
black_vomit,Was the vomit black?,
bleed,"During the illness that led to death, did the child bleed from anywhere?",
bleed_nose_mouth_anus,"Did the child bleed from the nose, mouth, or anus?",
bleed_specific,"During the illness that led to death, did she bleed from anywhere? Specific",
blood_transfusion,Did the child receive (or need) a blood transfusion?,
bloody_stool,At any time during the final illness was there blood in the stool?,
bloody_stool_until_death,"If there was blood in the stool, did it continue until death?",
bloody_vomit,Was the vomit bloody?,
blue_colour,Was the baby blue in colour at birth?,
blunt_force,Was the child injured by a blunt force?,
body_soft_discolored,"Was the baby's body soft, pulpy and discolored and the skin peeling away?",
born_24_hours_after_water_broke,Was the baby born 24 hours or more after the water broke?,
born_dead,"If the baby did not cry or breathe, was it born dead?",
breastfeed_exclusive,Was the breastfeeding exclusive?,
breathing_problem,"During the illness that led to death, did the child have a breathing problem?",
breathing_sound,During the illness that led to death did his/her breathing sound like any of the following,"See noisy_breathing, wheezing"
breathless_lying_flat,Was the child breathless while lying flat?,
breathlessness,Did the child have breathlessness?,
breathlessness_duration,Duration of breathlessness,
breeched,"Did the baby's bottom, feet, arm or hand come into the vagina before its head?",
bruises_injury,Were there any bruises or signs of injury on baby's body after the birth?,
bulging_fontanelle,"During the illness that led to death, did the baby have a bulging or raised fontanelle?",
burial_permit,Was a burial permit issued?,
burial_permit_available,Can I see the burial permit?,
burn,Did the child suffer from burns?,
caesarean,Was baby delivered by caesarean section?,
cancer,Did the child suffer from cancer?,
cancer_type,What type of cancer did the child have?,
cancer_type_specific,Specify other type of cancer,
cause_death,Cause of death according to health care worker,
cause_death_1,Cause of death from the first line of the death certificate,
cause_death_1_duration,"Cause of death from the first line of the death certificate, duration","from c2016_map.csv, champs2_map.csv, n2016_map.csv"
cause_death_2,Cause of death from the second line of the death certificate,
cause_death_2_duration,"Cause of death from the second line of the death certificate, duration","from c2016_map.csv, champs2_map.csv, n2016_map.csv"
cause_death_3,Cause of death from the third line of the death certificate,
cause_death_3_duration,"Cause of death from the third line of the death certificate, duration","from c2016_map.csv, champs2_map.csv, n2016_map.csv"
cause_death_4,Cause of death from the fourth line of the death certificate,
cause_death_4_duration,"Cause of death from the fourth line of the death certificate, duration","from c2016_map.csv, champs2_map.csv, n2016_map.csv"
cause_death_5,Cause of death from the fifth line of the death certificate,
cause_death_5_duration,"Cause of death from the fifth line of the death certificate, duration","from c2016_map.csv, champs2_map.csv, n2016_map.csv"
cause_death_certificate,Cause of death on death certificate,
cause_death_certificate_duration,"Cause of death on death certificate, duration",
cause_death_no_evidence,No documentation of evidence for cause of death ,
cause_death_respondent_account,What respondent think was cause of child's death,
cause_death_told,What was the cause of the child's death told by the nurse/doctor at health facility,
cause_death1,Cause of death according to the respondent,
cause_death2,Cause of death 2 according to the respondent,
chest_infections,Did the child have repeated chest infections?,
chest_pain,Did the child have chest pain?,
chest_pain_severe,Was the chest pain severe?,
chest_pull_in,"During the illness that led to death, did the child have indrawing of the chest?",
child_age_under_1,Is the child under 1 year of age?,
child_arv,"If mother had HIV, did the child receive ARV within 3 days of birth?",
child_visit_clinic,Did you ever take the child to the clinic?,
chills,Did the child have chills or rigor?,
chloroquine_malaraquin,Which antimalarial drug did the baby receive? Chloroquine/malariaquin,
chronic_illness,Did the child have an ongoing chronic illness or was he/she sick in the month before the accident or injury?,
chronic_illness_specific,Specify type of chronic illness,
chronic_obstructive_pulmonary_disease,Was there any diagnosis of Chronic Obstructive Pulmonary Disease (COPD)?,
citizenship_nationality,What was the child's citizenship/nationality?,
civil_registration_needed,Is there a need to collect civil registration numbers on the deceased?,
coartem,Which antimalarial drug did the baby receive? Coartem,
cold_touch,Did the baby become cold to the touch before it died?,
comments,Interviewer comments,
complications_labour_delivery,Were there complications during the labour/delivery?,
complications_other,What type of complications were in during the delivery? Other,
complications_other_2,What type of complications were in during the delivery? Other 2,
complications_specific,What type of complications were in during the delivery?,
consent_interview,Does the respondent consent to being interviewed?,
contacts_w_health_facility_before_death,"In the month before death, how many contacts with formal health services did the child receive?",
convulsions,Did the child have any fits or convulsions during the illness that led to his/her death?,
convulsions_after_24_hours,Did the baby have convulsions starting more than 24 hours after birth?,
convulsions_unconscious,Did the child become unconscious immediately after the convulsion?,
convulsions_within_24_hours,Did the baby have convulsions within the first 24 hours of life?,
cough,Did the child have a cough?,
cough_blood,Did the child cough up blood?,
cough_duration,How long did the cough last?,
cough_productive,"Was the cough productive, with sputum?",
cough_severe,Was the cough very severe?,
cough_type,"If the child had a cough, specify the type of cough. ",
cough_vomit,Did the child vomit after s/he coughed?,
counterpart_bus,Was the counterpart that was hit a bus?,
counterpart_car,Was the counterpart that was hit a car?,
counterpart_injury_known,Do you know anything about the counterpart that was hit during the road traffic accident?,
counterpart_motorcycle,Was the counterpart that was hit a motorcycle?,
counterpart_other,Was the counterpart that was hit something else?,
counterpart_pedal_cycle,Was the counterpart that was hit a pedal cycle?,
counterpart_pedestrian,Was the counterpart that was hit a pedestrian?,
counterpart_stationary_object,Was the counterpart that was hit a stationary object?,
counterpart_traffic_accident,What was the counterpart that was hit during the road traffic accident?,
counterpart_traffic_accident_specific,What was the counterpart that was hit during the road traffic accident? Specific,
cry_after_birth,"Did the child cry after birth, even a little?",
date_birth_deceased,Date of birth of deceased,
date_birth_known,Is the date of birth known?,
date_death_deceased,Date of death of deceased,
date_death_known,Is the child's date of death known?,
date_marriage,Date of marriage,
days_abdomen_mass,Days child had abdomen mass,
days_abdomen_pain,Days child had abdomen pain,
days_abdomen_problem,Days child had problems with the abdomen,
days_abdominal_pain,Days the child had abdomen pain,
days_after_birth_diarrhea,How many days after birth did the child have diarrhea?,
days_after_birth_yellow_palms_soles,How many days after birth did the yellow palms or soles begin?,
days_after_birth_yellow_skin,Days after birth skin turned yellow colour,
days_after_illness_seek_care_health_facility,How many days after the illness started was care at a medical facility sought?,
days_before_death_not_breastfed,How many days before death was the child not breastfed?,
days_bloody_vomit,Days child had bloody vomit,
days_breathlessness,Days child had breathlessness,
days_bulging_fontanelle,Days child had a bulging fontanelle,
days_chest_infections,Days child had a chest infection,
days_chest_pain,Days child had chest pain,
days_chest_pull_in,Days the child had indrawing of chest,
days_cold_touch,Days child felt cold to the touch,
days_convulsions,Days child had convulsions,
days_convulsions_start,How soon after birth did the convulsions start?,
days_cough,Days child had a cough,
days_diarrhea,Days child had diarrhea,
days_diarrhea_start,How many days after birth did the baby have diarrhea?,
days_difficulty_breathing,Days child had difficulty breathing,
days_difficulty_swallowing,Days child had difficulty breathing,
days_fast_breathing,Days child had fast breathing,
days_fever,Days child had a fever,
days_hair_red_yellow,Days the child had reddish or yellowish hair,
days_headache,Days child had a headache,
days_ill_before_death,Days the child was ill before his/her death,
days_jaundice,Days the child had jaundice,
days_lumps,Days the child had lumps on the body,
days_measles,Days the child had measles,
days_mental_confusion,Days the child had mental confusion,
days_mother_die,How many days after delivery did the mother die?,
days_night_sweats,Days the child had night sweats,
days_old_illness_start,How many days old was the child when the illness started?,
days_operation_before_death,How long before death did the child have an operation? Days,
days_painful_neck,Days child had a painful neck,
days_pale,Days the child looked pale,
days_paralysis_lower_limb,Days the child had paralysis of the lower limbs,
days_paralyzed,Days the child was paralyzed,
days_premature,Days the child was born premature,
days_protruding_abdomen,Days the child had a protruding abdomen,
days_puffiness_of_face,Days the child had a puffy face,
days_rash,Days the child had a rash,
days_rash_mouth,Days the child had a rash in/on the mouth,
days_seek_care_after_illness_start,Days after the illness started care at a medical facility was sought,
days_stiff,Days the child had a stiff body,
days_stiff_neck,Days the child had a stiff neck,
days_stop_cry,How long (days) after birth did the child stop crying?,
days_stop_moving,How many days before labour did you or the mother last feel the baby move? ,
days_stop_suckle,How many days after birth did the baby stop suckling?,
days_suckle_feed,How soon after birth did the child suckle or bottle feed?,
days_sunken_eye,Days the child had sunken eyes,
days_swell,Days the child's swelling lasted,
days_swell_body,Days the child's body was swollen,
days_swell_face,Days the child's face was swollen,
days_swell_feet,Days the child's feet were swollen,
days_swell_joints,Days the child's joints were swollen,
days_swell_leg,Days the child's leg(s) were swollen,
days_ulcer_foot_pus,Days the child's ulcer on the foot oozed pus,
days_unconscious,Days the child was unconscious before his/her death,
days_unresponsive,Days the child was unresponsive,
days_unusually_sleepy,Days the child was unusually sleep,
days_urine_blood,Days the child had blood in his/her urine,
days_urine_change,Days the child had change in the amount of urine s/he passed daily,
days_urine_problems,Days the child had urine problems,
days_vomit,Days the child vomited,
days_weeks_abdomen_mass,Days or weeks (the child had an abdomen mass),
days_weeks_abdominal_pain,Days or weeks (the child had abdominal pain),
days_weeks_breathlessness,Days or weeks (the child experienced breathlessness),
days_weeks_cough,Days or weeks (the child had a cough),
days_weeks_diarrhea,Days or weeks (the child had diarrhea),
days_weeks_fast_breathing,Days or weeks (the child had fast breathing),
days_weeks_fever,Days or weeks (the child had a fever),
days_weeks_mental_confusion,Days or weeks (the child experienced mental confusion),
days_weeks_months,"Days, Weeks, or Months",
days_weeks_protruding_abdomen,Days or weeks (the child had a protruding abdomen),
days_weeks_rash,Days or weeks (the child had a rash),
days_weeks_stiff_neck,Days or weeks (the child had a stiff neck),
days_weight_loss,Days the child experienced weight loss,
days_yellow_eyes,Days the child had yellow discoloration of the eyes,
days_yellow_palms_soles,Days the child had yellow palms or soles,
days_yellow_skin,Days the child's skin turned yellow,
death_cause_burial_permit,Is the cause of death written on the burial permit?,
death_cause_on_permit,Cause of death written on burial permit,
death_cause_on_permit_specific,"Cause of death written on burial permit, specific",
death_cause_on_permit_specific1,"Cause of death 1 written on burial permit, specific",
death_cause_on_permit_specific2,"Cause of death 2 written on burial permit, specific",
death_cause_on_permit_specific3,"Cause of death 3 written on burial permit, specific",
death_cause_on_permit_specific4,"Cause of death 4 written on burial permit, specific",
death_cause_on_post_mortem,Was the cause of death revealed to you or written on the PM report?,
death_certificate,Was a death certificate issued? ,
death_certificate_date_death,Date of death on death certificate,
death_certificate_issue_date,What day was the death certificate issued?,
death_certificate_issued,Was a death certificate issued?,
death_registration_date,Date of death registration,
death_registration_number,Death registration number,
death_registration_place,Place of death registration,
death_registration_place_specific,"Place of death registration, specific. ",
deceased_adult,Deceased is an adult,
deceased_child,Deceased is a child,
deceased_job,Deceased's job,
deceased_job_specific,"Deceased's job, specific",
deceased_national_id,Deceased national identification number,
deceased_neonatal,Deceased is a neonate,
deceased_return_study_because_sick,Deceased returned to study area because he/she was sick,
dehydrated,Was the child dehydrated when he/she had diarrhea?,
dementia,Was there any diagnosis by a health professional of dementia?,
dengue,Was there any diagnosis by a health professional of dengue fever?,
depression,Was there any diagnosis by a health professional of depression?,
diabetes,Did the child suffer from diabetes?,
diarrhea,Did the child have more frequent loose or liquid stools than usual? / Did the child have diarrhea?,
diarrhea_bloody,What was the most common aspect of the stool? Bloody,
diarrhea_clear_watery,What was the most common aspect of the stool? Clear watery,
diarrhea_continue,Did the diarrhea continue until death?,
diarrhea_duration,For how long did the child have diarrhea?,
diarrhea_given_ors,During the diarrheal episode was the child given any fluids such as ORS?,
diarrhea_lack_fluid,Do you think the child was lacking fluids when she was having diarrhea?,
diarrhea_opaque_watery,What was the most common aspect of the stool? Opaque watery,
diarrhea_sticky,What was the most common aspect of the stool? Sticky/mucoid,
diarrhea_stool_consistency,"If the child had diarrhea, what was the most common aspect of the stool?",
diarrhea_sunken_eyes,Did the child have sunken eyes when she was ill with diarrhea?,
diarrhea_thick_liquid,What was the most common aspect of the stool? Thick liquid,
diarrhea_wrinkled_skin,Did the child have wrinkled skin when s/he was ill with diarrhea?,
die_at_site_of_injury_accident,Did the child die at the site of the injury/accident?,
die_breastfeeding,Was the mother breastfeeding at death?,
die_during_labour_undelivered,"Did the mother die during labour, but undelivered?",
die_multiple_pregnancy,Did the mother die during or after a multiple pregnancy?,
die_suddenly,Did the child die suddenly?,
die_within_24_hours_delivery,Did the mother die within 24 hours after delivery?,
die_within_6_weeks_birth,Did the mother die within 6 weeks of giving birth?,
die_within_6_weeks_of_pregnancy_6_months,Did the mother die within 6 weeks of a pregnancy that lasted less than 6 months?,
died_dry_season,Did the child die during dry season?,see season
died_wet_season,Did the child die during wet season?,
difficulty_breathing,Did the child have difficulty breathing?,
difficulty_breathing_frequency,Was the difficulty breathing continuous or on and off?,
difficulty_swallowing,Did the child have difficulty swallowing?,
discharge_info,Hospital discharge information,
discharged_ill,Was the child discharged from hospital very ill?,
distention_development,"If the child had abdominal distention, did it start suddenly or gradually?",
doses_mother_vaccinations,How many doses of vaccinations did the mother receive?,
doubt_medical_care,"In the final days before death, were there any doubts about whether medical care was needed?",
dpt_booster,Note vaccines the child has received: DPT Booster,"Gambia, WHO2016"
drink_more,Did the child drink a lot more water than usual?,
drown,Did the child die of drowning?,
drugs_given_for_illness,List of drugs child was given for the illness that lead to death,
duration_heart_disease,Duration the child suffered from heart disease,
duration_pregnancy,Duration of the pregnancy,
duration_pregnancy_months,Duration of the pregnancy in months,
duration_pregnancy_weeks,Duration of the pregnancy in weeks,
electrocution,Was the child electrocuted?,
epi_vaccines,Select EPI vaccines done,
epilepsy,Did the child suffer from epilepsy?,
ethnicity,What was his/her ethnicity?,
ethnicity_other,"Ethnicity, other",
facility_name,What was the name of the health facility?,
facility_name_specific,What was the name of the health facility? Specific,
facility_outside_care,"Name of hospital, health center or clinic where outside care sought",
family_account_events,Family's account of events leading to the child's death,
family_member_tb,Has anyone in the family been diagnosed as having tuberculosis?,
family_member_tb_same_house_as_deceased,"If a family member has been diagnosed with TB, who is it and did he/she/they live in the same house as the dead child?",
fansider_sp_falcidin,Which antimalarial drug did the baby receive? Fansidar/SP/Falcidin,
fast_breathing,Did the child have fast breathing?,
fast_breathing_duration,Duration child had fast breathing,
father_health,Is the father of the dead child healthy?,
father_highest_education,Father's highest level of education,
father_highest_education_specific,"Father's highest level of education, specific",
father_occupation,Father's occupation,
father_occupation_specific,"Father's occupation, specific",
feed_nose,What type of treatment did the child receive? Food through a tube passed through the nose,
fetal_heart_sound_present,Was a fetal heart sound present?,
fever,Did the child have a fever?,
fever_continue,Did the fever continue until death?,
fever_duration,For how long did the child have a fever?,
fever_pattern,What was the pattern of the fever?,
fever_severe,Was the fever severe?,
fever_severity,How severe was the fever?,
filenumber,File number,
firearm,Was the child injured by firearm?,
firstname_deceased,First name of deceased,
firstname_interviewer,First name of interviewer,
firstname_respondent,First name of respondent,
fits,Did the child have fits?,see convulsions
days_fits,Days the child had fits,
months_fits,Months the child had fits,
number_fits,"When severe, how many fits did the child have in a day?",see number of convulsions
flaring_nostrils,Did the child have flaring of the nostrils?,
forceps,Was baby born with forceps/vacuum?,
generalized_convulsions,Did the child experience any generalized convulsions or fits during the illness that led to death?,
grow_normal_before_illness,Was the child growing normally before the illness?,
hair_red_yellow,Did the child's hair change to a reddish or yellowish color?,
headache,Did the child have a headache?,
headsize,What was the size of the head of the baby?,
health_card_available,Is the child's health card available?,
health_centre_code,Health centre code,
health_facility_specific,"Health facility, specific",
health_facility_treated_iv,Was the child treated with IV in the health facility?,
health_records,Do you have any health records that belonged to the deceased?,
health_service_contacts,"In the month before death, did the child have any contacts with formal health services?",va_4_weeks_to_59_months (variable in results but question not found in survey)
heart_disease,Did the child suffer from heart disease?,
hepb,Note vaccines the child has received: Hepatitis B,"Gambia, WHO2016"
herpes_zoster,Did the child ever have shingles or herpes zoster?,
high_blood_pressure,Was there any diagnosis of high blood pressure?,
highest_education,What was the child's highest level of schooling?,
hiv,Was the child tested positive for HIV? / Was a HIV test ever positive?,"see aids (c2016_map, who2016 separates HIV and AIDS whereas other surveys group together)"
hospital,"If the child sought care at a hospital, which hospital? ","core_2, who2007_2, who2010"
hospital_2_hours_away,Does it take more than 2 hours to get to the nearest hospital or health facility from the deceased's household?,
hospital_diagnosis,The Diagnosis on the hospital forms,
hospital_discharge_forms_available,Hospital discharge forms available?,
hospital_documents_available,Are other hospital documents available?,
hospital_information,Information from hospital discharge forms,
hospital_information_other,Other hospital documents available – other specify,
hospital_other,Other hospital,
hospital_other_specific,"Other hospital, specific",
hospital_prescription_info,Hospital prescription information ,
hospital_prescriptions_available,Are hospital prescription forms available?,
hospital_prescriptions_information,Information from hospital prescription form,
hours_abdomen_pain,How long did the child have abdomen pain (in hours)?,
hours_after_illness_seek_care_health_facility,Hours after the illness started care at a medical facility was sought,
hours_after_water_break_born,How many hours after the water break was the baby born?,
hours_before_death_stop_cry,How many hours before death did the child stop crying?,
hours_chest_pain,How long did the child have chest pain (in hours)?,
hours_ill_before_death,Hours the child was ill before his/her death,
hours_labor_pains,For how many hours did the mother experience labor pains?,
hours_labour_delivery,How many hours did labour and delivery take?,
hours_stop_moving,How many hours before labour did you or the mother last feel the baby move?,
