variable,variable_type,responses,question_standardized,response_standardized
filenum,Non-categorical,Non-categorical variable,filenumber,
slpy,Categorical,1,unusually_sleepy,yes
slpy,Categorical,2,unusually_sleepy,no
slpy,Categorical,9,unusually_sleepy,dk
dslpy,Non-categorical,Non-categorical variable,days_unusually_sleepy,
mslpy,Non-categorical,Non-categorical variable,months_unusually_sleepy,
npa,Categorical,1,painful_neck,yes
npa,Categorical,2,painful_neck,no
npa,Categorical,9,painful_neck,dk
npad,Non-categorical,Non-categorical variable,days_painful_neck,
npam,Non-categorical,Non-categorical variable,months_painful_neck,
head,Categorical,1,headache,yes
head,Categorical,2,headache,no
head,Categorical,9,headache,dk
dhea,Non-categorical,Non-categorical variable,days_headache,
mhea,Non-categorical,Non-categorical variable,months_headache,
stiffb,Categorical,1,stiff,yes
stiffb,Categorical,2,stiff,no
stiffb,Categorical,9,stiff,dk
dstiffb,Non-categorical,Non-categorical variable,days_stiff,
mstiffb,Categorical,,months_stiff,
lcsn,Categorical,1,unconscious,yes
lcsn,Categorical,2,unconscious,no
lcsn,Categorical,9,unconscious,dk
dlcsn,Non-categorical,Non-categorical variable,days_unconscious,
mlcsn,Non-categorical,Non-categorical variable,months_unconscious,
fit,Categorical,1,convulsions,yes
fit,Categorical,2,convulsions,no
fit,Categorical,9,convulsions,dk
dfits,Non-categorical,Non-categorical variable,days_convulsions,
mfits,Non-categorical,Non-categorical variable,months_convulsions,
ffin,Non-categorical,Non-categorical variable,number_fits,
par,Categorical,1,paralyzed,yes_both_leg
par,Categorical,2,paralyzed,no
par,Categorical,3,paralyzed,yes_one_arm_leg
par,Categorical,4,paralyzed,yes_total_paralysis
par,Categorical,5,paralyzed,other
par,Categorical,8,paralyzed,dk
paryo,Non-categorical,Non-categorical variable,paralyzed_other,
dpar,Non-categorical,Non-categorical variable,days_paralyzed,
mpar,Non-categorical,Non-categorical variable,months_paralyzed,
upuri,Categorical,1,urine_problems,yes
upuri,Categorical,2,urine_problems,no
upuri,Categorical,9,urine_problems,dk
dupuri,Non-categorical,Non-categorical variable,days_urine_problems,
mupuri,Categorical,,months_urine_problems,
blurin,Categorical,1,urine_blood,yes
blurin,Categorical,2,urine_blood,no
blurin,Categorical,9,urine_blood,dk
dblurin,Non-categorical,Non-categorical variable,days_urine_blood,
mblurin,Categorical,,months_urine_blood,
grow,Categorical,1,grow_normal_before_illness,yes
grow,Categorical,2,grow_normal_before_illness,no
grow,Categorical,8,grow_normal_before_illness,dk
grow,Categorical,9,grow_normal_before_illness,na
chiv,Categorical,1,hiv,yes
chiv,Categorical,2,hiv,assumed_not_tested
chiv,Categorical,3,hiv,no
chiv,Categorical,9,hiv,dk
tbcont,Categorical,1,mother_tb_diagnosed,yes
tbcont,Categorical,2,mother_tb_diagnosed,no
tbcont,Categorical,8,mother_tb_diagnosed,na
tbcont,Categorical,9,mother_tb_diagnosed,dk
care,Categorical,1,outside_care,yes
care,Categorical,2,outside_care,no
care,Categorical,9,outside_care,dk
tha,Categorical,1,treatment_traditional_healer,yes
tha,Categorical,2,treatment_traditional_healer,no
tha,Categorical,9,treatment_traditional_healer,dk
tba,Categorical,1,treatment_nyamrerwa,yes
tba,Categorical,2,treatment_nyamrerwa,no
tba,Categorical,9,treatment_nyamrerwa,dk
hce,Categorical,1,treatment_government_clinic,yes
hce,Categorical,2,treatment_government_clinic,no
hce,Categorical,9,treatment_government_clinic,dk
prp,Categorical,1,treatment_private_clinic,yes
prp,Categorical,2,treatment_private_clinic,no
prp,Categorical,9,treatment_private_clinic,dk
pds,Categorical,1,treatment_pharmacy,yes
pds,Categorical,2,treatment_pharmacy,no
pds,Categorical,9,treatment_pharmacy,dk
bus,Categorical,1,treatment_bush_doctor,yes
bus,Categorical,2,treatment_bush_doctor,no
bus,Categorical,9,treatment_bush_doctor,dk
gmh,Categorical,1,treatment_government_hospital,yes
gmh,Categorical,2,treatment_government_hospital,no
gmh,Categorical,9,treatment_government_hospital,dk
rel,Categorical,1,treatment_relgious,yes
rel,Categorical,2,treatment_relgious,no
rel,Categorical,9,treatment_relgious,dk
otca,Categorical,1,treatment_other,yes
otca,Categorical,2,treatment_other,no
otca,Categorical,9,treatment_other,dk
