variable,variable_type,responses,question_standardized,response_standardized
filenum,Non-categorical,Non-categorical variable,filenumber,
sexd,Categorical,FEMALE,sex_deceased,female
sexd,Categorical,MALE,sex_deceased,male
veyears,Non-categorical,Non-categorical variable,age_years,
vemonths,Non-categorical,Non-categorical variable,age_months,
vedays,Non-categorical,Non-categorical variable,age_days,
vedob,Non-categorical,Non-categorical variable,date_birth_deceased,
vedod,Non-categorical,Non-categorical variable,date_death_deceased,
marsd,Categorical,NEVER MARRIED,deceased_marital_status,never_married
marsd,Categorical,MARRIED/LIVING WITH PARTNER,deceased_marital_status,living_with_partner
marsd,Categorical,WIDOWED,deceased_marital_status,widowed
marsd,Categorical,DIVORCED,deceased_marital_status,divorced
marsd,Categorical,CHILD,deceased_marital_status,child
marsd,Categorical,SEPARATED,deceased_marital_status,separated
marsd,Categorical,DK,deceased_marital_status,dk
grade,Categorical,NONE,deceased_highest_education,none
grade,Categorical,PRIMARY,deceased_highest_education,primary
grade,Categorical,SECONDARY,deceased_highest_education,secondary
grade,Categorical,dk,deceased_highest_education,dk
djob,Non-categorical,Non-categorical variable,deceased_job,
djobother,Non-categorical,Non-categorical variable,deceased_job_specific,
placd,Categorical,AT HOME,place_died,home
placd,Categorical,AT HEALTH FACILITY,place_died,other_health_facility
placd,Categorical,ON THE WAY TO/FROM A HEALTH FACILITY,place_died,en_route_to_hospital
placd,Categorical,HOSPITAL,place_died,hospital
placd,Categorical,OTHER,place_died,other
placd,Categorical,DK,place_died,dk
placdoth,Non-categorical,Non-categorical variable,place_died_other,
hfname,Non-categorical,Non-categorical variable,facility_name,
illnessevents,Non-categorical,Non-categorical variable,account_of_illness,
dcause1,Non-categorical,Non-categorical variable,cause_death_1,
dcause2,Non-categorical,Non-categorical variable,cause_death_2,
aq,Categorical,YES,amodiaquine,yes
aq,Categorical,NO,amodiaquine,no
aq,Categorical,DK,amodiaquine,dk
arts,Categorical,YES,artusenate,yes
arts,Categorical,NO,artusenate,no
arts,Categorical,DK,artusenate,dk
coart,Categorical,YES,coartem,yes
coart,Categorical,NO,coartem,no
coart,Categorical,DK,coartem,dk
antimaloth,Non-categorical,Non-categorical variable,medication_specific,
sp,Categorical,YES,fansider_sp_falcidin,yes
