variable,variable_type,responses,question_standardized,response_standardized
meta:instanceID,Non-categorical,Non-categorical variable,,
Date_interview,Non-categorical,Non-categorical variable,visit_date,
Site,Non-categorical,Non-categorical variable,site,
ID_sujet,Non-categorical,Non-categorical variable,filenumber,
Debut,Non-categorical,Non-categorical variable,start_time,
Section_1.1:Date_naissance,Non-categorical,Non-categorical variable,date_birth_deceased,
Section_1.1:Sexe,Categorical,garcon,sex_deceased,male
Section_1.1:Sexe,Categorical,fille,sex_deceased,female
Section_1.1:Date_deces,Non-categorical,Non-categorical variable,date_death_deceased,
Section_1.1:Age_deces,Non-categorical,Non-categorical variable,age_months,
Section_1.1:Numero_ID,Non-categorical,Non-categorical variable,,
Section_1.2:Resultat,Categorical,rempli,visit_outcome,completed
Section_1.2:Resultat,Categorical,autres_resultat,visit_outcome,other
Section_1.2:Autre_resultat,Non-categorical,Non-categorical variable,visit_outcome_other,
Section_1.2:Resultat_rempli,Categorical,oui,,
Section_1.2:Resultat_rempli,Categorical,non,,
Section_1.2.Resultat_rempli_oui.Section_2.Relation,Categorical,mere,relationship,mother
Section_1.2.Resultat_rempli_oui.Section_2.Relation,Categorical,pere,relationship,father
Section_1.2.Resultat_rempli_oui.Section_2.Relation,Categorical,soeur,relationship,sister
Section_1.2.Resultat_rempli_oui.Section_2.Relation,Categorical,frere,relationship,brother
Section_1.2.Resultat_rempli_oui.Section_2.Relation,Categorical,grandmere,relationship,grandmother
Section_1.2.Resultat_rempli_oui.Section_2.Relation,Categorical,grandpere,relationship,grandfather
Section_1.2.Resultat_rempli_oui.Section_2.Relation,Categorical,tante,relationship,aunt
Section_1.2.Resultat_rempli_oui.Section_2.Relation,Categorical,oncle,relationship,uncle
Section_1.2.Resultat_rempli_oui.Section_2.Relation,Categorical,pas de relation,relationship,no_relation
Section_1.2:Resultat_rempli_oui:Section_2:Relation,Categorical,autres,relationship,other
Section_1.2:Resultat_rempli_oui:Section_2:Autres_relations,Non-categorical,Non-categorical variable,relationship_other,
Section_1.2:Resultat_rempli_oui:Section_2:Viv_defunt,Categorical,oui,live_with_deceased,yes
